from,abertura,maxima,minima,fechamento,volume
2025-05-20 18:15:00+00:00,2499.745,2500.755,2489.395,2493.905,2067.4796
2025-05-20 18:20:00+00:00,2493.565,2495.995,2476.635,2479.315,6070.3385
2025-05-20 18:25:00+00:00,2479.405,2484.395,2470.005,2472.295,3787.327
2025-05-20 18:30:00+00:00,2472.295,2480.135,2467.265,2479.195,5025.461
2025-05-20 18:35:00+00:00,2479.195,2484.675,2478.345,2480.355,2255.1838
2025-05-20 18:40:00+00:00,2480.225,2480.225,2470.205,2471.895,2849.1045
2025-05-20 18:45:00+00:00,2471.805,2472.505,2455.495,2457.365,9322.6619
2025-05-20 18:50:00+00:00,2456.705,2462.195,2453.565,2458.475,3469.1974
2025-05-20 18:55:00+00:00,2458.475,2458.475,2444.485,2452.785,9096.8858
2025-05-20 19:00:00+00:00,2452.785,2454.655,2448.035,2451.015,2757.7486
2025-05-20 19:05:00+00:00,2451.205,2463.315,2451.205,2463.255,3601.349
2025-05-20 19:10:00+00:00,2463.255,2467.395,2461.305,2466.795,2236.6945
2025-05-20 19:15:00+00:00,2466.795,2469.005,2460.905,2467.705,2109.181
2025-05-20 19:20:00+00:00,2467.705,2479.915,2467.705,2478.625,4612.3626
2025-05-20 19:25:00+00:00,2478.615,2482.205,2475.415,2480.605,2718.4676
2025-05-20 19:30:00+00:00,2480.595,2489.705,2480.215,2488.725,1703.4948
2025-05-20 19:35:00+00:00,2488.725,2489.695,2483.785,2484.855,2093.2536
2025-05-20 19:40:00+00:00,2484.855,2491.005,2484.855,2487.685,2015.7309
2025-05-20 19:45:00+00:00,2487.685,2494.995,2487.685,2494.045,1347.7989
2025-05-20 19:50:00+00:00,2494.045,2499.955,2493.205,2499.095,2134.1724
2025-05-20 19:55:00+00:00,2499.095,2511.455,2497.525,2501.895,5919.0813
2025-05-20 20:00:00+00:00,2501.285,2502.435,2485.105,2491.525,7101.1431
2025-05-20 20:05:00+00:00,2491.505,2499.745,2491.205,2499.745,1943.8557
2025-05-20 20:10:00+00:00,2499.745,2509.905,2499.745,2500.495,3435.0738
2025-05-20 20:15:00+00:00,2500.205,2509.895,2494.305,2506.495,4713.7481
2025-05-20 20:20:00+00:00,2506.235,2507.545,2502.295,2502.295,1466.2936
2025-05-20 20:25:00+00:00,2502.295,2504.935,2499.305,2502.605,1507.4615
2025-05-20 20:30:00+00:00,2502.605,2509.175,2502.605,2509.065,1429.0103
2025-05-20 20:35:00+00:00,2509.065,2516.155,2502.995,2507.315,3533.2766
2025-05-20 20:40:00+00:00,2507.315,2509.045,2505.025,2507.655,1052.7374
2025-05-20 20:45:00+00:00,2507.655,2522.495,2507.655,2520.405,4988.7471
2025-05-20 20:50:00+00:00,2520.405,2523.285,2511.265,2511.875,1711.1534
2025-05-20 20:55:00+00:00,2512.115,2514.595,2511.195,2513.495,778.7713
2025-05-20 21:00:00+00:00,2513.575,2522.995,2513.155,2520.185,1300.06
2025-05-20 21:05:00+00:00,2520.525,2526.435,2518.015,2525.255,2486.3601
